street_address,location_area,municipality,final_price,price_per_m2,price_change_percent,sold_date,living_area_m2,non_living_area_m2,rooms,plot_area_m2,url
Morkullevägen 35,Sunnersta,Uppsala kommun,5700000,33529.41,4.0,,170.0,18.0,7.0,,/salda/villa-7rum-sunnersta-uppsala-kommun-morkullevagen-35-2139318171088593490
Störvägen 13,Valsätra,Uppsala kommun,5925000,52901.79,1.0,,112.0,100.0,7.0,412.0,/salda/villa-7rum-valsatra-uppsala-kommun-storvagen-13-267785886281184681
Mistelgatan 14,Johannesbäck,Uppsala kommun,6000000,54545.45,10.0,,110.0,,5.0,617.0,/salda/villa-5rum-johannesback-uppsala-kommun-mistelgatan-14-3276940231194905965
Rödhakevägen 22,Sunnersta,Uppsala kommun,5995000,38184.71,0.0,,157.0,85.0,5.0,540.0,/salda/villa-5rum-sunnersta-uppsala-kommun-rodhakevagen-22-2526977193750240495
Genetikvägen 35,Ultuna,Uppsala kommun,5800000,44274.81,-6.0,,131.0,,5.0,301.0,/salda/villa-5rum-ultuna-uppsala-kommun-genetikvagen-35-437070897569429878
Långvägen 19B,Sunnersta,Uppsala kommun,6400000,31219.51,7.0,,205.0,16.0,7.0,847.0,/salda/villa-7rum-sunnersta-uppsala-kommun-langvagen-19b-3740388317800449823
Rimbertsvägen 3B,Berthåga,Uppsala kommun,6300000,47368.42,1.0,,133.0,,6.0,728.0,/salda/villa-6rum-berthaga-uppsala-kommun-rimbertsvagen-3b-2819491225970846909
Talgoxvägen 25B,Sunnersta,Uppsala kommun,6250000,53879.31,10.0,,116.0,116.0,5.0,1080.0,/salda/villa-5rum-sunnersta-uppsala-kommun-talgoxvagen-25b-5332509215740715280
Askvägen 1E,Sunnersta,Uppsala kommun,4200000,30000.0,-2.0,,140.0,,6.0,,/salda/villa-6rum-sunnersta-uppsala-kommun-askvagen-1e-8551079848341135206
Sellerigatan 2,Årsta,Uppsala kommun,4900000,43750.0,9.0,,112.0,112.0,8.0,1137.0,/salda/villa-8rum-arsta-uppsala-kommun-sellerigatan-2-3312002815183917922
Vråkvägen 8,Sunnersta,Uppsala kommun,5900000,44029.85,-5.0,,134.0,134.0,5.0,1012.5,/salda/villa-5rum-sunnersta-uppsala-kommun-vrakvagen-8-1880733062961960085
Havrevägen 7,Nåntuna,Uppsala kommun,4630000,50879.12,8.0,,91.0,,5.0,476.0,/salda/villa-5rum-nantuna-uppsala-kommun-havrevagen-7-8848663095533524519
Stavkärnsvägen 1,Valsätra,Uppsala kommun,5850000,41785.71,-2.0,,140.0,140.0,7.0,575.0,/salda/villa-7rum-valsatra-uppsala-kommun-stavkarnsvagen-1-5283942930045012660
Vårdkasvägen 9,Vårdsätra,Uppsala kommun,8275000,48676.47,7.0,,170.0,66.0,6.0,2160.0,/salda/villa-6rum-vardsatra-uppsala-kommun-vardkasvagen-9-4430072143503062681
Vråkvägen 2,Uppsala,Uppsala kommun,5650000,40357.14,13.0,,140.0,65.0,6.0,1507.0,/salda/villa-6rum-uppsala-uppsala-kommun-vrakvagen-2-5221977510736350349
Rättikgatan 10,Årsta,Uppsala kommun,5510000,26363.64,-5.0,,209.0,7.0,7.0,932.0,/salda/villa-7rum-arsta-uppsala-kommun-rattikgatan-10-4012318210477752648
Ekolnsvägen 4 A,Sunnersta,Uppsala kommun,6750000,46232.88,-3.0,,146.0,92.0,7.0,879.0,/salda/villa-7rum-sunnersta-uppsala-kommun-ekolnsvagen-4-a-4272733802214801767
Skrindvägen 1,Valsätra,Uppsala kommun,6500000,38235.29,-10.0,,170.0,170.0,,695.3,/salda/villa-170m2-valsatra-uppsala-kommun-skrindvagen-1-3580834365605748981
Rosenvägen 52,Sunnersta,Uppsala kommun,5275000,31029.41,-4.0,,170.0,,5.0,850.0,/salda/villa-5rum-sunnersta-uppsala-kommun-rosenvagen-52-6615134789174766211
Norbyvägen 80A,Norby,Uppsala kommun,6700000,41875.0,-4.0,,160.0,51.0,8.0,1494.0,/salda/villa-8rum-norby-uppsala-kommun-norbyvagen-80a-1312978408030301659
Valhalls väg 13,Gamla Uppsala,Uppsala kommun,5800000,51785.71,4.0,,112.0,50.0,5.0,994.0,/salda/villa-5rum-gamla-uppsala-uppsala-kommun-valhalls-vag-13-6930278209034484374
Vattholmavägen 22,Gamla Uppsala,Uppsala kommun,7850000,32040.82,-7.0,,245.0,117.0,10.0,1257.0,/salda/villa-10rum-gamla-uppsala-uppsala-kommun-vattholmavagen-22-3090630904680474810
Flottiljgatan 48B,Bärby Hage,Uppsala kommun,5950000,47222.22,-1.0,,126.0,96.0,7.0,281.0,/salda/villa-7rum-barby-hage-uppsala-kommun-flottiljgatan-48b-7417074059830792976
Herrhagens byväg 131,Herrhagen,Uppsala kommun,4860000,41186.44,22.0,,118.0,28.0,4.0,460.0,/salda/villa-4rum-herrhagen-uppsala-kommun-herrhagens-byvag-131-7284190357433392829
Stenhagsvägen 134,Stenhagen,Uppsala kommun,4195000,34958.33,0.0,,120.0,,5.0,300.0,/salda/villa-5rum-stenhagen-uppsala-kommun-stenhagsvagen-134-3378617745293576401
Granelidsvägen 3B,Södra Gottsunda,Uppsala kommun,4225000,44946.81,-6.0,,94.0,,4.0,672.0,/salda/villa-4rum-sodra-gottsunda-uppsala-kommun-granelidsvagen-3b-5933841262448485447
Genetikvägen 26,Ultuna,Uppsala kommun,6425000,43120.81,-1.0,,149.0,5.0,6.0,539.0,/salda/villa-6rum-ultuna-uppsala-kommun-genetikvagen-26-7391834332341336723
Jordgubbsgatan 36,Årsta,Uppsala kommun,4975000,45642.2,0.0,,109.0,,4.0,532.0,/salda/villa-4rum-arsta-uppsala-kommun-jordgubbsgatan-36-261526574684215991
Nåntuna Tomtebo 90,Nåntuna-Vilan,Uppsala kommun,5860000,35731.71,-2.0,,164.0,24.0,7.0,1612.0,/salda/villa-7rum-nantuna-vilan-uppsala-kommun-nantuna-tomtebo-90-7299739389597442934
Skäggesta 204,Börje,Uppsala kommun,3800000,31666.67,9.0,,120.0,7.0,4.0,1022.0,/salda/villa-4rum-borje-uppsala-kommun-skaggesta-204-3147855156659424353
Hästskovägen 9,Lugnet,Uppsala kommun,4800000,25806.45,-9.0,,186.0,24.0,7.0,1526.0,/salda/villa-7rum-lugnet-uppsala-kommun-hastskovagen-9-5372063808973538060
Tuskaftsvägen 8,Nåntuna,Uppsala kommun,5200000,38805.97,-5.0,,134.0,61.0,5.0,775.0,/salda/villa-5rum-nantuna-uppsala-kommun-tuskaftsvagen-8-9198346809484909128
Tryffelvägen 17,Norby,Uppsala kommun,3500000,25000.0,-5.0,,140.0,,5.0,,/salda/villa-5rum-norby-uppsala-kommun-tryffelvagen-17-8616512729805947710
Herrhagens byväg 80,Herrhagen,Uppsala kommun,6550000,64215.69,9.0,,102.0,37.0,5.0,,/salda/villa-5rum-herrhagen-uppsala-kommun-herrhagens-byvag-80-1980245354708719803
Kåbovägen 26A,Kåbo,Uppsala kommun,16000000,50314.47,-11.0,,318.0,125.0,16.0,924.0,/salda/villa-16rum-kabo-uppsala-kommun-kabovagen-26a-1788421268850290604
Grandungevägen 16,Norby,Uppsala kommun,8400000,31460.67,-6.0,,267.0,135.0,8.0,1081.0,/salda/villa-8rum-norby-uppsala-kommun-grandungevagen-16-4564529477420192801
Hörnstensvägen 1,Norby,Uppsala kommun,7750000,44285.71,3.0,,175.0,,8.0,703.0,/salda/villa-8rum-norby-uppsala-kommun-hornstensvagen-1-4285210957576190094
Ingvarsgatan 36,Svartbäcken,Uppsala kommun,4490000,58311.69,0.0,,77.0,77.0,4.0,517.0,/salda/villa-4rum-svartbacken-uppsala-kommun-ingvarsgatan-36-8757829653264866875
Herrhagsvägen 217,Herrhagen,Uppsala kommun,3900000,30232.56,-13.0,,129.0,10.0,5.0,430.0,/salda/villa-5rum-herrhagen-uppsala-kommun-herrhagsvagen-217-245404053043407437
Vinggatan 21,Bärby Hage,Uppsala kommun,6030000,55833.33,5.0,,108.0,53.0,6.0,529.9,/salda/villa-6rum-barby-hage-uppsala-kommun-vinggatan-21-7017188756563524484
Malmavägen 7,Uppsala,Uppsala kommun,5620000,46065.57,-6.0,,122.0,122.0,7.0,1046.2,/salda/villa-7rum-valsatra-ultuna-uppsala-kommun-malmavagen-7-3199738526696333136
Ingvarsgatan 59,Svartbäcken,Uppsala kommun,4650000,64583.33,-7.0,,72.0,36.0,5.0,654.0,/salda/villa-5rum-svartbacken-uppsala-kommun-ingvarsgatan-59-8006627633498753190
Greta Arwidssons väg 31,Gamla Uppsala,Uppsala kommun,4995000,41974.79,0.0,,119.0,,4.0,231.0,/salda/villa-4rum-gamla-uppsala-uppsala-kommun-greta-arwidssons-vag-31-8974365007177584387
Fältvägen 6,Norby,Uppsala kommun,8500000,48571.43,,,175.0,117.0,8.0,803.5,/salda/villa-8rum-norby-uppsala-kommun-faltvagen-6-8566971041763584582
Hövägen 18,Valsätra,Uppsala kommun,5075000,40927.42,-5.0,,124.0,73.0,8.0,448.7,/salda/villa-8rum-valsatra-uppsala-kommun-hovagen-18-2259761568633673720
Jägarvägen 10 A,Sunnersta,Uppsala kommun,4990000,29011.63,-3.0,,172.0,,7.0,914.0,/salda/villa-7rum-sunnersta-uppsala-kommun-jagarvagen-10-a-508398490356998018
Robertsvägen 2,Berthåga,Uppsala kommun,5050000,48095.24,28.0,,105.0,60.0,4.0,1323.0,/salda/villa-4rum-berthaga-uppsala-kommun-robertsvagen-2-6387021469906565423
Geijersgatan 62,Luthagen,Uppsala kommun,8700000,40654.21,-13.0,,214.0,96.0,9.0,632.0,/salda/villa-9rum-luthagen-uppsala-kommun-geijersgatan-62-6543812024103849008
Eklundavägen 4,Vårdsätra,Uppsala kommun,7450000,28007.52,-17.0,,266.0,31.0,7.0,1720.0,/salda/villa-7rum-vardsatra-uppsala-kommun-eklundavagen-4-3958928240790466775
Starvägen 2A,Sunnersta,Uppsala kommun,4550000,39565.22,3.0,,115.0,,5.0,922.0,/salda/villa-5rum-sunnersta-uppsala-kommun-starvagen-2a-8001694571573491468
Tors väg 15A,Gamla Uppsala,Uppsala kommun,6900000,42331.29,-5.0,,163.0,20.0,6.0,1193.0,/salda/villa-6rum-gamla-uppsala-uppsala-kommun-tors-vag-15a-2909523077673690092
Bonadsvägen 40,Nåntuna,Uppsala kommun,4920000,35652.17,3.0,,138.0,17.0,5.0,229.0,/salda/villa-5rum-nantuna-uppsala-kommun-bonadsvagen-40-2855926337940222175
Kronparksvägen 12,Vilan,Uppsala kommun,5640000,33176.47,-14.0,,170.0,94.0,6.0,724.0,/salda/villa-6rum-vilan-uppsala-kommun-kronparksvagen-12-715207603912023297
Kuggebro 20,Kuggebro,Uppsala kommun,6000000,48000.0,4.0,,125.0,,5.0,499.0,/salda/villa-5rum-kuggebro-uppsala-kommun-kuggebro-20-8247313955109767426
Vetevägen 11,Vilan,Uppsala kommun,5050000,53157.89,12.0,,95.0,95.0,6.0,510.0,/salda/villa-6rum-vilan-uppsala-kommun-vetevagen-11-6917189055616079386
Gärdesvägen 17,Sunnersta,Uppsala kommun,5550000,48260.87,-7.0,,115.0,115.0,6.0,922.0,/salda/villa-6rum-sunnersta-uppsala-kommun-gardesvagen-17-693587044782775747
Duvhöksvägen 14,Bergsbrunna,Uppsala kommun,5545000,49954.95,1.0,,111.0,110.0,6.0,1074.0,/salda/villa-6rum-bergsbrunna-uppsala-kommun-duvhoksvagen-14-9158306968648362098
Laduvägen 22,Valsätra,Uppsala kommun,4800000,38709.68,20.0,,124.0,73.0,8.0,331.6,/salda/villa-8rum-valsatra-uppsala-kommun-laduvagen-22-4770990628941959161
Kadettgatan 18,Bärby Hage,Uppsala kommun,5250000,59659.09,0.0,,88.0,88.0,6.0,795.0,/salda/villa-6rum-barby-hage-uppsala-kommun-kadettgatan-18-213882227867095053
Bergsbrunna villaväg 13,Bergsbrunna,Uppsala kommun,5950000,34000.0,-4.0,,175.0,42.0,7.0,1711.0,/salda/villa-7rum-bergsbrunna-uppsala-kommun-bergsbrunna-villavag-13-5024161292356678144
Störvägen 19,Valsätra,Uppsala kommun,6000000,53571.43,13.0,,112.0,100.0,4.0,486.0,/salda/villa-4rum-valsatra-uppsala-kommun-storvagen-19-6321078094486878880
Askvägen 1F,Sunnersta,Uppsala kommun,4995000,35678.57,-5.0,,140.0,9.0,4.0,434.0,/salda/villa-4rum-sunnersta-uppsala-kommun-askvagen-1f-3446823637000690674
Bergagatan 45,Kungsgärdet,Uppsala kommun,6410000,89027.78,28.0,,72.0,72.0,3.0,480.0,/salda/villa-3rum-kungsgardet-uppsala-kommun-bergagatan-45-2690733770778929898
Milstensvägen 20,Herrhagen,Uppsala kommun,6300000,40909.09,15.0,,154.0,,5.0,806.0,/salda/villa-5rum-herrhagen-uppsala-kommun-milstensvagen-20-8559519668592247843
Stenhagsvägen 88,Stenhagen,Uppsala kommun,4100000,34166.67,-2.0,,120.0,,4.5,238.0,"/salda/villa-4,5rum-stenhagen-uppsala-kommun-stenhagsvagen-88-4377856939882048135"
Dalbovägen 39B,Sunnersta,Uppsala kommun,6800000,36756.76,9.0,,185.0,,7.0,953.0,/salda/villa-7rum-sunnersta-uppsala-kommun-dalbovagen-39b-506156566935419595
Fålhagsgatan 14,Fålhagen,Uppsala kommun,7000000,60869.57,-18.0,,115.0,65.0,8.0,472.0,/salda/villa-8rum-falhagen-uppsala-kommun-falhagsgatan-14-9059716925922057598
Dan Anderssonsgatan 12,Nyby,Uppsala kommun,4560000,48000.0,-9.0,,95.0,36.0,6.0,400.0,/salda/villa-6rum-nyby-uppsala-kommun-dan-anderssonsgatan-12-5173787608631276237
Havsörnsvägen 13,Sunnersta,Uppsala kommun,7000000,46052.63,-11.0,,152.0,64.0,6.0,844.0,/salda/villa-6rum-sunnersta-uppsala-kommun-havsornsvagen-13-5265691377105094286
Herman Flodkvists väg 6,Ultuna,Uppsala kommun,4500000,68181.82,-10.0,,66.0,63.0,4.0,880.0,/salda/villa-4rum-ultuna-uppsala-kommun-herman-flodkvists-vag-6-6221410887494377126
Danmarks-Söderby Lennartsberg 40A,Danmarks-Söderby,Uppsala kommun,2995000,25381.36,-14.0,,118.0,10.0,5.0,1895.0,/salda/villa-5rum-danmarks-soderby-uppsala-kommun-danmarks-soderby-lennartsberg-40a-3397357035414809822
Karlsrogatan 16,Kungsgärdet,Uppsala kommun,5700000,79166.67,18.0,,72.0,68.0,3.0,479.0,/salda/villa-3rum-kungsgardet-uppsala-kommun-karlsrogatan-16-3160582079145095733
Frejs väg 17A,Gamla Uppsala,Uppsala kommun,6650000,47841.73,1.0,,139.0,92.0,6.0,1075.0,/salda/villa-6rum-gamla-uppsala-uppsala-kommun-frejs-vag-17a-6150783258092228539
Hällkistgatan 15,Uppsala,Uppsala kommun,6600000,79518.07,5.0,,83.0,84.0,4.0,503.0,/salda/villa-4rum-svartbacken-uppsala-kommun-hallkistgatan-15-8600113673729685760
Sköldmövägen 25,Uppsala,Uppsala kommun,7800000,74285.71,-2.0,,105.0,153.0,8.0,1182.0,/salda/villa-8rum-gamla-uppsala-uppsala-kommun-skoldmovagen-25-520075972122177149
Pilotgatan 16,Bärby Hage,Uppsala kommun,5850000,55714.29,6.0,,105.0,108.0,4.0,769.0,/salda/villa-4rum-barby-hage-uppsala-kommun-pilotgatan-16-7557003084924843928
Kardvägen 2,Nåntuna,Uppsala kommun,6750000,45000.0,4.0,,150.0,,5.0,860.0,/salda/villa-5rum-nantuna-uppsala-kommun-kardvagen-2-5288799070657976362
Mollskinnsvägen 12,Nåntuna,Uppsala kommun,5710000,38322.15,14.0,,149.0,5.0,6.0,1077.0,/salda/villa-6rum-nantuna-uppsala-kommun-mollskinnsvagen-12-5705580064063078040
Billvägen 13,Valsätra,Uppsala kommun,5495000,49954.55,0.0,,110.0,110.0,6.0,465.7,/salda/villa-6rum-valsatra-uppsala-kommun-billvagen-13-7990357371875005436
Ihres väg 48,Flogsta,Uppsala kommun,5300000,44537.82,-9.0,,119.0,59.0,,331.2,/salda/villa-119m2-flogsta-uppsala-kommun-ihres-vag-48-2029965665128607954
Rälsvägen 23,Sunnersta,Uppsala kommun,8800000,44670.05,10.0,,197.0,61.0,9.0,1537.0,/salda/villa-9rum-sunnersta-uppsala-kommun-ralsvagen-23-7825454587982459139
Pimpstensvägen 8,Herrhagen,Uppsala kommun,4100000,36607.14,8.0,,112.0,,5.0,321.0,/salda/villa-5rum-herrhagen-uppsala-kommun-pimpstensvagen-8-6072396764376351215
Hollandsresan 288,Sävja,Uppsala kommun,4150000,35169.49,4.0,,118.0,,5.0,254.0,/salda/villa-5rum-savja-uppsala-kommun-hollandsresan-288-8499342576929514446
Norbyvägen 66,Uppsala,Uppsala kommun,11000000,61111.11,-12.0,,180.0,147.0,6.0,1574.0,/salda/villa-6rum-uppsala-uppsala-kommun-norbyvagen-66-2886978605717731464
Bergsbrunna villaväg 27A,Bergsbrunna,Uppsala kommun,7500000,42134.83,-2.0,,178.0,13.0,6.0,725.0,/salda/villa-6rum-bergsbrunna-uppsala-kommun-bergsbrunna-villavag-27a-4372243821605792627
Morkullevägen 43A,Sunnersta,Uppsala kommun,5700000,36538.46,4.0,,156.0,7.0,5.0,553.0,/salda/villa-5rum-sunnersta-uppsala-kommun-morkullevagen-43a-4433802215306888865
Kronparksvägen 5,Vilan,Uppsala kommun,5200000,46017.7,-5.0,,113.0,90.0,5.0,705.0,/salda/villa-5rum-vilan-uppsala-kommun-kronparksvagen-5-7143292090589028061
Slånvägen 8,Vårdsätra,Uppsala kommun,7000000,59322.03,-12.0,,118.0,151.0,4.0,2152.0,/salda/villa-4rum-vardsatra-uppsala-kommun-slanvagen-8-8008343065222253005
Tors väg 13A,Gamla Uppsala,Uppsala kommun,8650000,52424.24,5.0,,165.0,105.0,8.0,1451.0,/salda/villa-8rum-gamla-uppsala-uppsala-kommun-tors-vag-13a-8796876665723487377
Alvägen 22,Norby,Uppsala kommun,9500000,30448.72,-5.0,,312.0,60.0,9.0,1810.0,/salda/villa-9rum-norby-uppsala-kommun-alvagen-22-6686524587931469994
Adilsgatan 21,Främre Svartbäcken,Uppsala kommun,8200000,56944.44,-1.0,,144.0,,5.0,396.0,/salda/villa-5rum-framre-svartbacken-uppsala-kommun-adilsgatan-21-2751864435278875186
Timjansgatan 25,Årsta,Uppsala kommun,5300000,48623.85,7.0,,109.0,109.0,5.0,286.0,/salda/villa-5rum-arsta-uppsala-kommun-timjansgatan-25-6701089379677632536
Tingshögsgatan 20,Svartbäcken,Uppsala kommun,6150000,66847.83,-2.0,,92.0,59.0,5.0,569.0,/salda/villa-5rum-svartbacken-uppsala-kommun-tingshogsgatan-20-5015479358267472113
Greta Arwidssons väg 39,Fornby,"Gamla Uppsala, Uppsala kommun",4775000,40466.1,2.0,,118.0,3.0,4.0,139.0,"/salda/villa-4rum-fornby,-gamla-uppsala-uppsala-kommun-greta-arwidssons-vag-39-1324615048079013551"
Järpvägen 24,Uppsala,Uppsala kommun,7650000,49354.84,2.0,,155.0,155.0,9.0,1789.0,/salda/villa-9rum-uppsala-uppsala-kommun-jarpvagen-24-2856660506236868249
Rörbäcksvägen 55,Nåntuna-Vilan,Uppsala kommun,6350000,45683.45,-2.0,,139.0,20.0,5.0,514.0,/salda/villa-5rum-nantuna-vilan-uppsala-kommun-rorbacksvagen-55-7553195217272649482
Lindgatan 12,Fålhagen,Uppsala kommun,10250000,51250.0,3.0,,200.0,83.0,8.0,1185.0,/salda/villa-8rum-falhagen-uppsala-kommun-lindgatan-12-8954673273535362572
Champinjonvägen 11,Norby,Uppsala kommun,6995000,55960.0,0.0,,125.0,125.0,6.0,710.0,/salda/villa-6rum-norby-uppsala-kommun-champinjonvagen-11-1000132563780254229
Villinge 70,Villinge,Uppsala kommun,7100000,36040.61,2.0,,197.0,70.0,7.0,2083.0,/salda/villa-7rum-villinge-uppsala-kommun-villinge-70-1683670664721786262
Krusbärsgatan 12C,Årsta,Uppsala kommun,5400000,42519.69,0.0,,127.0,,5.0,379.0,/salda/villa-5rum-arsta-uppsala-kommun-krusbarsgatan-12c-913096267401614391
Pumpvägen 8A,Bergsbrunna,Uppsala kommun,6100000,36746.99,-6.0,,166.0,,7.0,542.0,/salda/villa-7rum-bergsbrunna-uppsala-kommun-pumpvagen-8a-3463428524009062182
Greta Arwidssons väg 36,Gamla Uppsala,Uppsala kommun,4900000,42241.38,-1.0,,116.0,,4.0,198.0,/salda/villa-4rum-gamla-uppsala-uppsala-kommun-greta-arwidssons-vag-36-5496266618749842168
Stiernhielmsgatan 10,Främre Svartbäcken,Uppsala kommun,10850000,69551.28,9.0,,156.0,75.0,6.0,433.0,/salda/villa-6rum-framre-svartbacken-uppsala-kommun-stiernhielmsgatan-10-6625583934608448145
Tulpanvägen 40,Tunabackar,Uppsala kommun,650000,26000.0,-6.0,,25.0,,2.0,405.0,/salda/villa-2rum-tunabackar-uppsala-kommun-tulpanvagen-40-3996865789245381193
Malma parkväg 3 A,Norby,Uppsala kommun,5575000,74333.33,6.0,,75.0,69.0,6.0,748.0,/salda/villa-6rum-norby-uppsala-kommun-malma-parkvag-3-a-1404443928318026095
Lönnviksvägen 8,Sunnersta,Uppsala kommun,5475000,49772.73,0.0,,110.0,110.0,5.0,841.0,/salda/villa-5rum-sunnersta-uppsala-kommun-lonnviksvagen-8-7628233608220454903
Sunnerstavägen 4A,Sunnersta,Uppsala kommun,6050000,63684.21,1.0,,95.0,94.0,6.0,1200.0,/salda/villa-6rum-sunnersta-uppsala-kommun-sunnerstavagen-4a-2402015681472139494
Södra Parkvägen 12C,Norby,Uppsala kommun,6750000,36486.49,0.0,,185.0,33.0,7.0,580.0,/salda/villa-7rum-norby-uppsala-kommun-sodra-parkvagen-12c-1131258126287342703
Ynglingagatan 27,Svartbäcken,Uppsala kommun,6700000,69072.16,7.0,,97.0,88.0,4.0,611.0,/salda/villa-4rum-svartbacken-uppsala-kommun-ynglingagatan-27-4208294631477585996
Kumla trädgårdsgata 9,Danmark,Uppsala kommun,6495000,39603.66,0.0,,164.0,,6.0,604.0,/salda/villa-6rum-danmark-uppsala-kommun-kumla-tradgardsgata-9-2661969373508445593
Falebro 6,Danmark,Uppsala kommun,8600000,43000.0,1.0,,200.0,25.0,6.0,3050.0,/salda/villa-6rum-danmark-uppsala-kommun-falebro-6-1269469919759830150
Malmavägen 5,Uppsala,Uppsala kommun,5900000,51304.35,,,115.0,,5.0,827.0,/salda/villa-5rum-valsatra-ultuna-uppsala-kommun-malmavagen-5-2881153131433295657
Skogsvägen 4,Bergsbrunna,Uppsala kommun,3600000,46753.25,3.0,,77.0,77.0,4.0,867.0,/salda/villa-4rum-bergsbrunna-uppsala-kommun-skogsvagen-4-1422043512057149104
Nåntuna backe 48,Nåntuna-Vilan,Uppsala kommun,5900000,39333.33,-2.0,,150.0,,5.0,842.0,/salda/villa-5rum-nantuna-vilan-uppsala-kommun-nantuna-backe-48-7127510821865460113
Tomatgatan 29,Årsta,Uppsala kommun,5935000,33156.42,-1.0,,179.0,,7.0,914.0,/salda/villa-7rum-arsta-uppsala-kommun-tomatgatan-29-3079001023468053997
Banvallsvägen 8,Gamla Uppsala,Uppsala kommun,7000000,77777.78,0.0,,90.0,20.0,4.0,1339.0,/salda/villa-4rum-gamla-uppsala-uppsala-kommun-banvallsvagen-8-8012009536320237283
Hammarbygatan 72,Fålhagen,Uppsala kommun,9650000,42324.56,-8.0,,228.0,91.0,8.0,815.0,/salda/villa-8rum-falhagen-uppsala-kommun-hammarbygatan-72-3588294166709506022
Pumpvägen 5,Bergsbrunna-Uppsävja,Uppsala kommun,5050000,37407.41,2.0,,135.0,11.0,5.0,1042.0,/salda/villa-5rum-bergsbrunna-uppsavja-uppsala-kommun-pumpvagen-5-363336124205637991
Rörbäcksvägen 31C,Vilan,Uppsala kommun,11500000,39792.39,-11.0,,289.0,,7.0,1097.0,/salda/villa-7rum-vilan-uppsala-kommun-rorbacksvagen-31c-7285048794421074387
Tryffelvägen 21,Norby,Uppsala kommun,4540000,39478.26,6.0,,115.0,,4.0,,/salda/villa-4rum-norby-uppsala-kommun-tryffelvagen-21-419573031459602007
Rosenvägen 9B,Sunnersta,Uppsala kommun,7925000,31200.79,6.0,,254.0,46.0,8.0,945.0,/salda/villa-8rum-sunnersta-uppsala-kommun-rosenvagen-9b-4467911579409405563
Bror Wallins väg 9,Bergsbrunna,Uppsala kommun,6900000,38764.04,-1.0,,178.0,10.0,7.0,707.0,/salda/villa-7rum-bergsbrunna-uppsala-kommun-bror-wallins-vag-9-6959674142588712746
Dan Anderssonsgatan 34,Nyby,Uppsala kommun,4600000,22660.1,-8.0,,203.0,,7.0,512.0,/salda/villa-7rum-nyby-uppsala-kommun-dan-anderssonsgatan-34-1364886098228905364
Bertilsvägen 22A,Berthåga,Uppsala kommun,5850000,45703.12,20.0,,128.0,128.0,9.0,963.0,/salda/villa-9rum-berthaga-uppsala-kommun-bertilsvagen-22a-8359130074156666128
Malma ringväg 54,Norby,Uppsala kommun,5600000,34782.61,-6.0,,161.0,65.0,5.0,1002.0,/salda/villa-5rum-norby-uppsala-kommun-malma-ringvag-54-5129509528916768361
Kolfatsvägen 6,Valsätra,Uppsala kommun,6150000,43928.57,7.0,,140.0,140.0,9.0,678.7,/salda/villa-9rum-valsatra-uppsala-kommun-kolfatsvagen-6-3624719840300137246
Brages väg 11,Gamla Uppsala,Uppsala kommun,6525000,59318.18,0.0,,110.0,110.0,5.0,1283.0,/salda/villa-5rum-gamla-uppsala-uppsala-kommun-brages-vag-11-1894185068649004056
Lyssnavägen 6,Graneberg,Uppsala kommun,11200000,50678.73,2.0,,221.0,76.0,7.0,2030.0,/salda/villa-7rum-graneberg-uppsala-kommun-lyssnavagen-6-204712212049137772
Timjansgatan 87,Årsta,Uppsala kommun,6300000,57798.17,18.0,,109.0,109.0,4.0,301.0,/salda/villa-4rum-arsta-uppsala-kommun-timjansgatan-87-8879665376463850917
Stavkärnsvägen 11,Valsätra,Uppsala kommun,6350000,45357.14,15.0,,140.0,140.0,6.0,601.0,/salda/villa-6rum-valsatra-uppsala-kommun-stavkarnsvagen-11-6217005518519452431
Vilanvägen 1,Vilan,Uppsala kommun,6250000,35112.36,1.0,,178.0,,6.0,862.0,/salda/villa-6rum-vilan-uppsala-kommun-vilanvagen-1-8866261201385669457
Gråbergsvägen 24A,Uppsala,Uppsala kommun,8280000,52075.47,18.0,,159.0,10.0,7.0,732.6,/salda/villa-7rum-uppsala-uppsala-kommun-grabergsvagen-24a-7802143284171530641
Kornvägen 4,Vilan,Uppsala kommun,5910000,62872.34,13.0,,94.0,94.0,5.0,637.0,/salda/villa-5rum-vilan-uppsala-kommun-kornvagen-4-3587291626607322090
Nöthårsvägen 30,Nåntuna,Uppsala kommun,4500000,40909.09,13.0,,110.0,,5.0,365.0,/salda/villa-5rum-nantuna-uppsala-kommun-notharsvagen-30-1042975179135085865
Seminariegatan 4C,Luthagen,Uppsala kommun,6070000,44306.57,1.0,,137.0,,5.0,185.0,/salda/villa-5rum-luthagen-uppsala-kommun-seminariegatan-4c-1012382919951658916
Orrstigen 2,Sunnersta,Uppsala kommun,8530000,52654.32,19.0,,162.0,50.0,6.0,855.0,/salda/villa-6rum-sunnersta-uppsala-kommun-orrstigen-2-4157099531891257195
Hällkistgatan 18,Svartbäcken,Uppsala kommun,7000000,76086.96,8.0,,92.0,92.0,6.0,520.0,/salda/villa-6rum-svartbacken-uppsala-kommun-hallkistgatan-18-7687813398858482943
Divisionsgatan 8,Tuna Backar,Uppsala kommun,5700000,67857.14,8.0,,84.0,84.0,6.0,729.3,/salda/villa-6rum-tuna-backar-uppsala-kommun-divisionsgatan-8-5100449613513814870
