street_address,location_area,municipality,final_price,price_per_m2,price_change_percent,sold_date,living_area_m2,non_living_area_m2,rooms,plot_area_m2,url
Frejs väg 13A,Gamla Uppsala,Uppsala kommun,6700000,51538.46,14.0,,130.0,127.0,5.0,895.0,/salda/villa-5rum-gamla-uppsala-uppsala-kommun-frejs-vag-13a-4765663009084240889
Hällbygatan 6,Luthagen,Uppsala kommun,8900000,53614.46,-11.0,,166.0,90.0,8.0,821.0,/salda/villa-8rum-luthagen-uppsala-kommun-hallbygatan-6-2292986873024616375
Stenhuggarvägen 9,Herrhagen,Uppsala kommun,5000000,43103.45,-5.0,,116.0,,4.0,950.0,/salda/villa-4rum-herrhagen-uppsala-kommun-stenhuggarvagen-9-816469235415864293
Nya Valsätravägen 42,Norby,Uppsala kommun,7300000,64601.77,4.0,,113.0,112.0,7.0,868.9,/salda/villa-7rum-norby-uppsala-kommun-nya-valsatravagen-42-4978822666985509546
Björkhagsvägen 3B,Norby,Uppsala kommun,7300000,36868.69,4.0,,198.0,,7.0,766.0,/salda/villa-7rum-norby-uppsala-kommun-bjorkhagsvagen-3b-4377736087006709356
Brages väg 9,Gamla Uppsala,Uppsala kommun,6250000,55803.57,-4.0,,112.0,110.0,4.0,1222.5,/salda/villa-4rum-gamla-uppsala-uppsala-kommun-brages-vag-9-6606548013087763490
Milstensvägen 37,Herrhagen,Uppsala kommun,6760000,43896.1,4.0,,154.0,38.0,7.0,803.0,/salda/villa-7rum-herrhagen-uppsala-kommun-milstensvagen-37-5582172100994691534
Bertilsvägen 12B,Berthåga,Uppsala kommun,6500000,71428.57,10.0,,91.0,121.0,3.0,911.0,/salda/villa-3rum-berthaga-uppsala-kommun-bertilsvagen-12b-4865564051412258310
Häckvägen 10A,Sunnersta,Uppsala kommun,6800000,41212.12,5.0,,165.0,10.0,7.0,699.0,/salda/villa-7rum-sunnersta-uppsala-kommun-hackvagen-10a-3141169240697360982
Blåhakevägen 1B,Sunnersta,Uppsala kommun,5700000,43511.45,4.0,,131.0,36.0,5.0,865.0,/salda/villa-5rum-sunnersta-uppsala-kommun-blahakevagen-1b-3496622600126843292
Rödbetsgatan 34,Årsta,Uppsala kommun,5550000,37248.32,11.0,,149.0,7.0,6.0,828.0,/salda/villa-6rum-arsta-uppsala-kommun-rodbetsgatan-34-8618990702812951966
Sellerigatan 6,Årsta,Uppsala kommun,6200000,48818.9,-9.0,,127.0,124.0,10.0,946.0,/salda/villa-10rum-arsta-uppsala-kommun-sellerigatan-6-1173665500138611802
Granelidsvägen 39,Södra Gottsunda,Uppsala kommun,6700000,39880.95,-3.0,,168.0,,5.0,713.0,/salda/villa-5rum-sodra-gottsunda-uppsala-kommun-granelidsvagen-39-39093409127871101
Heimdalsvägen 9B,Sunnersta,Uppsala kommun,5900000,31382.98,-1.0,,188.0,,7.0,793.0,/salda/villa-7rum-sunnersta-uppsala-kommun-heimdalsvagen-9b-1053043765167746295
Eskadergatan 10,Bärby Hage,Uppsala kommun,5500000,55000.0,8.0,,100.0,100.0,4.0,741.0,/salda/villa-4rum-barby-hage-uppsala-kommun-eskadergatan-10-7855780943552987877
Karlsrogatan 40,Kungsgärdet / Kåbo,Uppsala kommun,9300000,69402.99,-4.0,,134.0,65.0,8.0,1027.0,/salda/villa-8rum-kungsgardet-kabo-uppsala-kommun-karlsrogatan-40-2089164117941862233
Sunnerstavägen 46,Sunnersta,Uppsala kommun,5100000,35915.49,-2.0,,142.0,,6.0,153.0,/salda/villa-6rum-sunnersta-uppsala-kommun-sunnerstavagen-46-1003756966211822621
Tegelgatan 16,Kungsgärdet,Uppsala kommun,5250000,68181.82,6.0,,77.0,64.0,4.0,509.2,/salda/villa-4rum-kungsgardet-uppsala-kommun-tegelgatan-16-4849951581373673852
Bergsbrunna villaväg 6C,Bergsbrunna,Uppsala kommun,8495000,41038.65,0.0,,207.0,,7.0,811.0,/salda/villa-7rum-bergsbrunna-uppsala-kommun-bergsbrunna-villavag-6c-4322735948836192438
Berthåga lindväg 11,Berthåga,Uppsala kommun,7050000,71938.78,1.0,,98.0,108.0,8.0,790.9,/salda/villa-8rum-berthaga-uppsala-kommun-berthaga-lindvag-11-5823799328319724814
Klarbärsgatan 27,Slavsta,Uppsala kommun,4500000,42056.07,5.0,,107.0,10.0,4.0,300.0,/salda/villa-4rum-slavsta-uppsala-kommun-klarbarsgatan-27-5323692889470830815
Granelidsvägen 55,Södra Gottsunda,Uppsala kommun,7295000,42911.76,0.0,,170.0,,6.0,624.0,/salda/villa-6rum-sodra-gottsunda-uppsala-kommun-granelidsvagen-55-3449054200452324858
Kuskvägen 3,Norby,Uppsala kommun,9675000,41170.21,-3.0,,235.0,50.0,8.0,1663.0,/salda/villa-8rum-norby-uppsala-kommun-kuskvagen-3-4442747069653383608
Gamla Börjevägen 42,Husbyborg,Uppsala kommun,6600000,44000.0,-6.0,,150.0,56.0,8.0,5482.0,/salda/villa-8rum-husbyborg-uppsala-kommun-gamla-borjevagen-42-32691561778644609
Synålsvägen 24,Nåntuna-Vilan,Uppsala kommun,3990000,38365.38,0.0,,104.0,31.0,5.0,305.0,/salda/villa-5rum-nantuna-vilan-uppsala-kommun-synalsvagen-24-3351211599359561184
Skrindvägen 6,Valsätra,Uppsala kommun,5475000,39107.14,0.0,,140.0,140.0,6.0,640.5,/salda/villa-6rum-valsatra-uppsala-kommun-skrindvagen-6-4557212313474158238
Tjädervägen 35B,Sunnersta,Uppsala kommun,6400000,57142.86,16.0,,112.0,,5.0,737.0,/salda/villa-5rum-sunnersta-uppsala-kommun-tjadervagen-35b-2722996620795563553
Kristinastigen 20,Bergsbrunna,Uppsala kommun,6600000,38372.09,-3.0,,172.0,28.0,5.0,750.0,/salda/villa-5rum-bergsbrunna-uppsala-kommun-kristinastigen-20-692020857059874873
Ynglingagatan 25,Svartbäcken,Uppsala kommun,7080000,82325.58,13.0,,86.0,69.0,,580.8,/salda/villa-86m2-svartbacken-uppsala-kommun-ynglingagatan-25-6248926785160779625
Vikingagatan 40,Svartbäcken,Uppsala kommun,10150000,68581.08,4.0,,148.0,71.0,5.0,691.0,/salda/villa-5rum-svartbacken-uppsala-kommun-vikingagatan-40-8422427064876276144
Brushanevägen 11,Sunnersta,Uppsala kommun,5860000,41857.14,7.0,,140.0,101.0,5.0,674.0,/salda/villa-5rum-sunnersta-uppsala-kommun-brushanevagen-11-7423179174492172334
Kornvägen 7,Nåntuna - Vilan,Uppsala kommun,5400000,60000.0,19.0,,90.0,,4.0,475.0,/salda/villa-4rum-nantuna-vilan-uppsala-kommun-kornvagen-7-300300986416557527
